id_x,budget,popularity,revenue,title,avg_rating,rate_count,year,month,day,director_name,gender,movie_expense,profit,movie_performance,total_profit,director_performance,directors_rank,Release_Season,day_type,avg_profit_per_year,avg_total_profit_per_year
43960,100.0,34,235.93,A.I. Artificial Intelligence,6.8,1974,2001,Jun,Friday,Steven Spielberg,Male,36.13461538461539,135.93,Normal,7016.24,Best,1.0,Summer,Weekday,78.79935483870969,841.1814516129032
43961,90.0,16,182.29,The Haunted Mansion,5.2,466,2003,Nov,Tuesday,Rob Minkoff,Male,-18.599999999999994,92.28999999999999,Normal,510.21000000000004,Normal,88.0,Autumn,Weekday,103.48896551724138,834.98
43962,90.0,55,171.12,Contact,7.2,1308,1997,Jul,Friday,Robert Zemeckis,Male,13.84615384615384,81.12,Normal,2600.62,Best,7.0,Summer,Weekday,96.21869565217392,1040.8167391304348
43963,95.0,28,190.21,Hollow Man,5.6,634,2000,Aug,Friday,Paul Verhoeven,Male,28.799999999999997,95.21000000000001,Normal,288.28,Normal,125.0,Summer,Weekday,79.02983050847457,747.7103389830509
43964,80.0,18,162.94,The Interpreter,6.2,392,2005,Apr,Friday,Sydney Pollack,Male,32.4,82.94,Normal,575.5,Normal,78.0,Spring,Weekday,76.39154929577465,964.4594366197182
43966,95.0,56,156.51,Lara Croft Tomb Raider: The Cradle of Life,5.5,1418,2003,Jul,Monday,Jan de Bont,Male,3.5999999999999943,61.50999999999999,Normal,800.13,Normal,51.0,Summer,Weekday,103.48896551724138,834.98
43967,90.0,51,334.9,Now You See Me 2,6.7,3235,2016,Jun,Thursday,Jon M. Chu,Male,32.8,244.89999999999998,Normal,829.3299999999999,Normal,50.0,Summer,Weekday,157.44346153846152,1130.3807692307694
43968,68.0,20,118.06,The Saint,5.9,302,1997,Apr,Thursday,Phillip Noyce,Male,20.0,50.06,Normal,623.76,Normal,70.0,Spring,Weekday,96.21869565217392,1040.8167391304348
43969,92.0,27,143.05,Spy Game,6.8,579,2001,Nov,Sunday,Tony Scott,Male,32.208333333333336,51.05000000000001,Normal,1150.43,Normal,31.0,Autumn,Weekend,78.79935483870969,841.1814516129032
43970,90.0,16,60.87,Mission to Mars,5.7,369,2000,Mar,Friday,Brian De Palma,Male,54.208333333333336,-29.130000000000003,Normal,491.71,Normal,93.0,Spring,Weekday,79.02983050847457,747.7103389830509
43972,100.0,24,93.7,Bicentennial Man,6.9,963,1999,Dec,Friday,Chris Columbus,Male,38.45454545454545,-6.299999999999997,Normal,3048.6400000000003,Best,6.0,Winter,Weekday,43.911875,613.3409375
43977,88.0,24,108.54,Cinderella Man,7.3,616,2005,Jun,Thursday,Ron Howard,Male,10.384615384615387,20.540000000000006,Normal,1868.38,Normal,17.0,Summer,Weekday,76.39154929577465,964.4594366197182
43980,92.0,32,494.47,Twister,6.1,950,1996,May,Friday,Jan de Bont,Male,0.5999999999999943,402.47,Blockbuster,800.13,Normal,51.0,Spring,Weekday,70.88847826086958,722.6060869565217
43981,90.0,57,429.63,Cast Away,7.5,3218,2000,Dec,Friday,Robert Zemeckis,Male,13.84615384615384,339.63,Blockbuster,2600.62,Best,7.0,Winter,Weekday,79.02983050847457,747.7103389830509
43982,100.0,37,384.34,Happy Feet,5.9,1410,2006,Nov,Thursday,George Miller,Male,30.75571428571429,284.34,Normal,658.8599999999999,Normal,67.0,Autumn,Weekday,80.45287671232877,673.7645205479452
